condition,node_id,depth,is_leaf,feature_index,feature,feature_group,threshold,left_child,right_child,impurity,weighted_samples,predicted_class,class_weights
B_DECISION_TREE,0,0,False,253.0,symptoms,textual,0.0940028764307499,1.0,26.0,0.7500000000000004,392.0000000000007,4,0.25|0.25|0.25|0.25
B_DECISION_TREE,1,1,False,256.0,talking,textual,0.022087890654802322,2.0,23.0,0.7420930360655242,303.5418109096597,4,0.20178439|0.21055763|0.2842228|0.30343518
B_DECISION_TREE,2,2,False,288.0,way,textual,0.07509763911366463,3.0,16.0,0.7329935654541808,268.8849723249039,4,0.19742023|0.17431084|0.30216588|0.32610305
B_DECISION_TREE,3,3,False,27.0,away,textual,0.05768333934247494,4.0,15.0,0.7134223127197191,211.65779205538945,4,0.21221362|0.11072015|0.33241854|0.34464769
B_DECISION_TREE,4,4,False,78.0,dopamine,textual,0.07126924395561218,5.0,10.0,0.7185743421650143,199.76755363883524,3,0.22484465|0.11731025|0.34801131|0.30983378
B_DECISION_TREE,5,5,False,17.0,adults,textual,0.034870099276304245,6.0,9.0,0.7347701879106643,157.27573515030633,3,0.27910112|0.14900444|0.3142176|0.25767685
B_DECISION_TREE,6,6,False,263.0,thing,textual,0.0608743317425251,7.0,8.0,0.7083162622331417,132.90793752078102,3,0.28418794|0.080147011|0.35292085|0.28274419
B_DECISION_TREE,7,7,True,,,,,,,0.713476734794491,103.6294849791704,1,0.3644796|0.10279096|0.29097748|0.24175196
B_DECISION_TREE,8,7,True,,,,,,,0.48958412037162713,29.27845254161044,3,0|0|0.57216606|0.42783394
B_DECISION_TREE,9,6,True,,,,,,,0.6363830358896478,24.367797629525317,2,0.25135632|0.52456972|0.10312054|0.12095342
B_DECISION_TREE,10,5,False,32.0,better,textual,0.028503455221652985,11.0,14.0,0.5227147469717597,42.491818488528985,4,0.024024233|0|0.47309258|0.50288319
B_DECISION_TREE,11,6,False,141.0,just,textual,0.106374841183424,12.0,13.0,0.5195153293636485,35.022632703553754,3,0.029147818|0|0.55007165|0.42078053
B_DECISION_TREE,12,7,True,,,,,,,0.4243262957685988,24.120557804768332,3,0|0|0.69451697|0.30548303
B_DECISION_TREE,13,7,True,,,,,,,0.48130180934517297,10.902074898785424,4,0.09363661|0|0.23049012|0.67587327
B_DECISION_TREE,14,6,True,,,,,,,0.19913180472573466,7.469185784975257,4,0|0|0.11214165|0.88785835
B_DECISION_TREE,15,4,True,,,,,,,0.1309648583380929,11.890238416554203,4,0|0|0.070444915|0.92955508
B_DECISION_TREE,16,3,False,220.0,say,textual,0.044601812958717346,17.0,22.0,0.7094227851191106,57.22718026951434,2,0.14270608|0.40950441|0.19027478|0.25751473
B_DECISION_TREE,17,4,False,67.0,different,textual,0.03894618898630142,18.0,21.0,0.6793492195577565,48.81962291458857,2,0.16728246|0.48002793|0.17157175|0.18111785
B_DECISION_TREE,18,5,False,301.0,hedge_score,handcrafted_linguistic,1.8990384340286255,19.0,20.0,0.5957246403063838,39.74331837117877,2,0.15411396|0.5896534|0.12645248|0.12978017
B_DECISION_TREE,19,6,True,,,,,,,0.7405838615826033,13.520400604353693,2,0.22650956|0.31514374|0.185854|0.2724927
B_DECISION_TREE,20,6,True,,,,,,,0.43938243007810707,26.222917766825088,2,0.11678716|0.73118915|0.095825359|0.056198331
